Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
base_link,0.64764,0.82118,1.2823,0,0,0,1.1099,0.0017323,9.498E-05,-1.8477E-07,0.0066445,-4.1769E-07,0.0058051,0,0,0,0,0,0,package://cat_urdf.SLDASM/meshes/base_link.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://cat_urdf.SLDASM/meshes/base_link.STL,,body-1,Origin_global,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
upperleg_fl,0.024758,-0.02325,0.024007,0,0,0,0.060463,1.6946E-05,-6.5718E-12,-2.434E-06,1.3106E-05,7.5191E-12,1.7096E-05,0,0,0,0,0,0,package://cat_urdf.SLDASM/meshes/upperleg_fl.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://cat_urdf.SLDASM/meshes/upperleg_fl.STL,,upperleg_front-1,Origin_hip_fl,Axis_hip_fl,hip_fl,revolute,0.72627,-1.3017,0.72616,-3.1416,0.77498,-3.1416,base_link,0,1,0,0,0,-1.57,1.57,,,,,,,,
lowerleg_fl,-4.75473982408658E-09,0.0232499943871629,0.0364632446678755,0,0,0,0.0699581201554127,3.15837289122154E-05,-8.60933097674758E-11,-3.46721157397413E-12,2.19759227755569E-05,-4.28889640805252E-12,1.91147421418883E-05,0,0,0,0,0,0,package://cat_urdf.SLDASM/meshes/lowerleg_fl.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://cat_urdf.SLDASM/meshes/lowerleg_fl.STL,,lowerleg-2,Origin_knee_fl,Axis_knee_fl,knee_fl,revolute,0.039486,0,0.038287,0,-0.77368,3.1416,upperleg_fl,0,1,0,0,0,-1.57,1.57,,,,,,,,
upperleg_fr,0.024758,-0.02325,0.024007,0,0,0,0.060463,1.6946E-05,-6.4589E-12,-2.434E-06,1.3106E-05,7.418E-12,1.7096E-05,0,0,0,0,0,0,package://cat_urdf.SLDASM/meshes/upperleg_fr.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://cat_urdf.SLDASM/meshes/upperleg_fr.STL,,upperleg_front-2,Origin_knee_fr,Axis_knee_fr,hip_fr,revolute,0.72627,-1.2165,0.72616,-3.1416,0.79756,-3.1416,base_link,0,1,0,0,0,-1.57,1.57,,,,,,,,
lowerleg_fr,-4.43033831842854E-09,0.0232499934913899,0.0364632446845141,0,0,0,0.0699581202170087,3.15837289580559E-05,-8.61359053758981E-11,-3.21737673796386E-12,2.19759227196836E-05,-4.73466202448819E-12,1.91147421860981E-05,0,0,0,0,0,0,package://cat_urdf.SLDASM/meshes/lowerleg_fr.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://cat_urdf.SLDASM/meshes/lowerleg_fr.STL,,lowerleg-1,Origin_knee_fr2,Axis_knee_fr2,knee_fr,revolute,0.039486,0,0.038287,0,-0.81155,3.1416,upperleg_fr,0,1,0,0,0,-1.57,1.57,,,,,,,,
upperleg_bl,-0.00976295271731775,0.0232501900245516,0.0342534207407755,0,0,0,0.057335271066792,1.76255413485992E-05,-5.41152248744027E-13,1.28237016851058E-06,1.2063396549517E-05,1.0696653020031E-11,1.34257039052371E-05,0,0,0,0,0,0,package://cat_urdf.SLDASM/meshes/upperleg_bl.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://cat_urdf.SLDASM/meshes/upperleg_bl.STL,,upperleg_back-1,Origin_hip_bl,Axis_hip_bl,hip_bl,revolute,0.55677,-1.3166,0.72616,3.1416,-0.26336,0,base_link,0,1,0,0,0,-1.57,1.57,,,,,,,,
lowerleg_bl,-4.50047299427325E-09,0.0232499936818709,0.0364632446889597,0,0,0,0.0699581201747257,3.15837289313372E-05,-8.61319622447907E-11,-3.27432434983183E-12,2.19759227157828E-05,-4.63160439353435E-12,1.91147421677487E-05,0,0,0,0,0,0,package://cat_urdf.SLDASM/meshes/lowerleg_bl.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://cat_urdf.SLDASM/meshes/lowerleg_bl.STL,,lowerleg-3,Origin_knee_bl,Axis_knee_bl,knee_bl,revolute,-0.015108,0,0.052884,0,-0.27249,0,upperleg_bl,0,1,0,0,0,-1.57,1.57,,,,,,,,
upperleg_br,-0.00976295260659155,0.0232501900069702,0.0342534203947121,0,0,0,0.0573352716458123,1.76255417264354E-05,-5.20102424970887E-13,1.28237020513566E-06,1.20633967746612E-05,1.07104648069426E-11,1.34257040994798E-05,0,0,0,0,0,0,package://cat_urdf.SLDASM/meshes/upperleg_br.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://cat_urdf.SLDASM/meshes/upperleg_br.STL,,upperleg_back-2,Origin_hip_br,Axis_hip_br,hip_br,revolute,0.55677,-1.2016,0.72616,-3.1416,-0.27684,0,base_link,0,1,0,0,0,-1.57,1.57,,,,,,,,
lowerleg_br,-4.47946635340202E-09,0.0232499936248449,0.0364632446874792,0,0,0,0.0699581201944018,3.15837289412452E-05,-8.6133189217402E-11,-3.25734301185056E-12,2.19759227174298E-05,-4.66253146666271E-12,1.91147421751615E-05,0,0,0,0,0,0,package://cat_urdf.SLDASM/meshes/lowerleg_br.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://cat_urdf.SLDASM/meshes/lowerleg_br.STL,,lowerleg-4,Origin_knee_br,Axis_knee_br,knee_br,revolute,-0.015108,0,0.052884,0,-0.29892,0,upperleg_br,0,1,0,0,0,-1.57,1.57,,,,,,,,
